Date,Feature
2020-04-15 10:00:00,1.09296
2020-04-15 11:00:00,1.09322
2020-04-15 12:00:00,1.09341
2020-04-15 13:00:00,1.09076
2020-04-15 14:00:00,1.09138
2020-04-15 15:00:00,1.0860299999999998
2020-04-15 16:00:00,1.08697
2020-04-15 17:00:00,1.09041
2020-04-15 18:00:00,1.09079
2020-04-15 19:00:00,1.09169
2020-04-15 20:00:00,1.0917700000000001
2020-04-15 21:00:00,1.09217
2020-04-15 22:00:00,1.09133
2020-04-15 23:00:00,1.09066
2020-04-16 00:00:00,1.09079
2020-04-16 01:00:00,1.09017
2020-04-16 02:00:00,1.09037
2020-04-16 03:00:00,1.0885799999999999
2020-04-16 04:00:00,1.0875299999999999
2020-04-16 05:00:00,1.08837
2020-04-16 06:00:00,1.08736
2020-04-16 07:00:00,1.0879
2020-04-16 08:00:00,1.08844
2020-04-16 09:00:00,1.08843
2020-04-16 10:00:00,1.08728
2020-04-16 11:00:00,1.08877
2020-04-16 12:00:00,1.08686
2020-04-16 13:00:00,1.0879
2020-04-16 14:00:00,1.08819
2020-04-16 15:00:00,1.08892
2020-04-16 16:00:00,1.0878700000000001
2020-04-16 17:00:00,1.08502
2020-04-16 18:00:00,1.08407
2020-04-16 19:00:00,1.08334
2020-04-16 20:00:00,1.08409
2020-04-16 21:00:00,1.0844799999999999
2020-04-16 22:00:00,1.0846
2020-04-16 23:00:00,1.08386
2020-04-17 00:00:00,1.08604
2020-04-17 01:00:00,1.08607
2020-04-17 02:00:00,1.08585
2020-04-17 03:00:00,1.08627
2020-04-17 04:00:00,1.0873
2020-04-17 05:00:00,1.0872700000000002
2020-04-17 06:00:00,1.08666
2020-04-17 07:00:00,1.08705
2020-04-17 08:00:00,1.08656
2020-04-17 09:00:00,1.0853899999999999
2020-04-17 10:00:00,1.08286
2020-04-17 11:00:00,1.08291
2020-04-17 12:00:00,1.08194
2020-04-17 13:00:00,1.08358
2020-04-17 14:00:00,1.08481
2020-04-17 15:00:00,1.08643
2020-04-17 16:00:00,1.08859
2020-04-17 17:00:00,1.08905
2020-04-17 18:00:00,1.0883
2020-04-17 19:00:00,1.0866799999999999
2020-04-17 20:00:00,1.08759
2020-04-17 21:00:00,1.0868200000000001
2020-04-17 22:00:00,1.08689
2020-04-17 23:00:00,1.0873899999999999
2020-04-20 00:00:00,1.0872
2020-04-20 01:00:00,1.08674
2020-04-20 02:00:00,1.08635
2020-04-20 03:00:00,1.08605
2020-04-20 04:00:00,1.08641
2020-04-20 05:00:00,1.0862
2020-04-20 06:00:00,1.08609
2020-04-20 07:00:00,1.0870799999999998
2020-04-20 08:00:00,1.0855299999999999
2020-04-20 09:00:00,1.08554
2020-04-20 10:00:00,1.08683
2020-04-20 11:00:00,1.08788
2020-04-20 12:00:00,1.08822
2020-04-20 13:00:00,1.0863399999999999
2020-04-20 14:00:00,1.08561
2020-04-20 15:00:00,1.08626
2020-04-20 16:00:00,1.08644
2020-04-20 17:00:00,1.08807
2020-04-20 18:00:00,1.08724
2020-04-20 19:00:00,1.08701
2020-04-20 20:00:00,1.08685
2020-04-20 21:00:00,1.0861
2020-04-20 22:00:00,1.08566
2020-04-20 23:00:00,1.08607
2020-04-21 00:00:00,1.08686
2020-04-21 01:00:00,1.0864200000000002
2020-04-21 02:00:00,1.08636
2020-04-21 03:00:00,1.08559
2020-04-21 04:00:00,1.0846
2020-04-21 05:00:00,1.0830799999999998
2020-04-21 06:00:00,1.08374
2020-04-21 07:00:00,1.08328
2020-04-21 08:00:00,1.0841399999999999
2020-04-21 09:00:00,1.08391
2020-04-21 10:00:00,1.0830600000000001
2020-04-21 11:00:00,1.08365
2020-04-21 12:00:00,1.08323
2020-04-21 13:00:00,1.08323
2020-04-21 14:00:00,1.08323
2020-04-21 15:00:00,1.0829
2020-04-21 16:00:00,1.0868799999999998
2020-04-21 17:00:00,1.08594
2020-04-21 18:00:00,1.08535
2020-04-21 19:00:00,1.08441
2020-04-21 20:00:00,1.08445
2020-04-21 21:00:00,1.0852899999999999
2020-04-21 22:00:00,1.08592
2020-04-21 23:00:00,1.08564
2020-04-22 00:00:00,1.08556
2020-04-22 01:00:00,1.08532
2020-04-22 02:00:00,1.08562
2020-04-22 03:00:00,1.08548
2020-04-22 04:00:00,1.08491
2020-04-22 05:00:00,1.08521
2020-04-22 06:00:00,1.08505
2020-04-22 07:00:00,1.0846200000000001
2020-04-22 08:00:00,1.08552
2020-04-22 09:00:00,1.0859
2020-04-22 10:00:00,1.08554
2020-04-22 11:00:00,1.08596
2020-04-22 12:00:00,1.086
2020-04-22 13:00:00,1.08705
2020-04-22 14:00:00,1.08762
2020-04-22 15:00:00,1.08685
2020-04-22 16:00:00,1.08515
2020-04-22 17:00:00,1.08291
2020-04-22 18:00:00,1.0829
2020-04-22 19:00:00,1.08154
2020-04-22 20:00:00,1.08141
2020-04-22 21:00:00,1.08197
2020-04-22 22:00:00,1.0818
2020-04-22 23:00:00,1.08229
2020-04-23 00:00:00,1.08225
2020-04-23 01:00:00,1.0823
2020-04-23 02:00:00,1.08061
2020-04-23 03:00:00,1.0810899999999999
2020-04-23 04:00:00,1.08179
2020-04-23 05:00:00,1.08111
2020-04-23 06:00:00,1.08092
2020-04-23 07:00:00,1.08155
2020-04-23 08:00:00,1.08292
2020-04-23 09:00:00,1.08165
2020-04-23 10:00:00,1.07962
2020-04-23 11:00:00,1.07961
2020-04-23 12:00:00,1.07734
2020-04-23 13:00:00,1.07752
2020-04-23 14:00:00,1.07651
2020-04-23 15:00:00,1.07883
2020-04-23 16:00:00,1.07938
2020-04-23 17:00:00,1.08276
2020-04-23 18:00:00,1.08135
2020-04-23 19:00:00,1.08136
2020-04-23 20:00:00,1.0765200000000001
2020-04-23 21:00:00,1.0785200000000001
2020-04-23 22:00:00,1.0782
2020-04-23 23:00:00,1.0776
2020-04-24 00:00:00,1.07771
2020-04-24 01:00:00,1.07798
2020-04-24 02:00:00,1.0774299999999999
2020-04-24 03:00:00,1.0766200000000001
2020-04-24 04:00:00,1.07663
2020-04-24 05:00:00,1.07712
2020-04-24 06:00:00,1.0771
2020-04-24 07:00:00,1.0771600000000001
2020-04-24 08:00:00,1.07628
2020-04-24 09:00:00,1.07378
2020-04-24 10:00:00,1.07405
2020-04-24 11:00:00,1.0755700000000001
2020-04-24 12:00:00,1.07653
2020-04-24 13:00:00,1.0785
2020-04-24 14:00:00,1.07933
2020-04-24 15:00:00,1.08028
2020-04-24 16:00:00,1.07964
2020-04-24 17:00:00,1.08135
2020-04-24 18:00:00,1.07969
2020-04-24 19:00:00,1.0788
2020-04-24 20:00:00,1.0794
2020-04-24 21:00:00,1.07975
2020-04-24 22:00:00,1.0810799999999998
2020-04-24 23:00:00,1.08244
2020-04-27 00:00:00,1.08215
2020-04-27 01:00:00,1.08169
2020-04-27 02:00:00,1.08209
2020-04-27 03:00:00,1.0818
2020-04-27 04:00:00,1.0825200000000001
2020-04-27 05:00:00,1.08226
2020-04-27 06:00:00,1.08317
2020-04-27 07:00:00,1.0838299999999998
2020-04-27 08:00:00,1.08465
2020-04-27 09:00:00,1.0846
2020-04-27 10:00:00,1.08416
2020-04-27 11:00:00,1.0849799999999998
2020-04-27 12:00:00,1.08464
2020-04-27 13:00:00,1.0851899999999999
2020-04-27 14:00:00,1.08546
2020-04-27 15:00:00,1.0850899999999999
2020-04-27 16:00:00,1.08471
2020-04-27 17:00:00,1.0840299999999998
2020-04-27 18:00:00,1.08284
2020-04-27 19:00:00,1.08212
2020-04-27 20:00:00,1.08291
2020-04-27 21:00:00,1.0832
2020-04-27 22:00:00,1.08291
2020-04-27 23:00:00,1.0828
2020-04-28 00:00:00,1.08294
2020-04-28 01:00:00,1.08286
2020-04-28 02:00:00,1.08243
2020-04-28 03:00:00,1.0832899999999999
2020-04-28 04:00:00,1.08244
2020-04-28 05:00:00,1.0827200000000001
2020-04-28 06:00:00,1.0824200000000002
2020-04-28 07:00:00,1.08216
2020-04-28 08:00:00,1.08251
2020-04-28 09:00:00,1.08132
2020-04-28 10:00:00,1.08391
2020-04-28 11:00:00,1.08502
2020-04-28 12:00:00,1.08759
2020-04-28 13:00:00,1.08822
2020-04-28 14:00:00,1.08861
2020-04-28 15:00:00,1.08702
2020-04-28 16:00:00,1.08435
2020-04-28 17:00:00,1.08324
2020-04-28 18:00:00,1.08361
2020-04-28 19:00:00,1.08315
2020-04-28 20:00:00,1.08355
2020-04-28 21:00:00,1.08355
2020-04-28 22:00:00,1.0832600000000001
2020-04-28 23:00:00,1.08182
2020-04-29 00:00:00,1.0821100000000001
2020-04-29 01:00:00,1.08253
2020-04-29 02:00:00,1.08324
2020-04-29 03:00:00,1.0841399999999999
2020-04-29 04:00:00,1.0846
2020-04-29 05:00:00,1.0850799999999998
2020-04-29 06:00:00,1.08466
2020-04-29 07:00:00,1.0849600000000001
2020-04-29 08:00:00,1.0855
2020-04-29 09:00:00,1.0851
2020-04-29 10:00:00,1.087
2020-04-29 11:00:00,1.0866
2020-04-29 12:00:00,1.08556
2020-04-29 13:00:00,1.08505
2020-04-29 14:00:00,1.084230
2020-04-29 15:00:00,1.085710
2020-04-29 16:00:00,1.086390
2020-04-29 17:00:00,1.085160
2020-04-29 18:00:00,1.085230
2020-04-29 19:00:00,1.084760
2020-04-29 20:00:00,1.086380
2020-04-29 21:00:00,1.087160
2020-04-29 22:00:00,1.087510
2020-04-29 23:00:00,1.087280
2020-04-30 00:00:00,1.087370
2020-04-30 01:00:00,1.087480
2020-04-30 02:00:00,1.087710
2020-04-30 03:00:00,1.085890
2020-04-30 04:00:00,1.086720
2020-04-30 05:00:00,1.086200
2020-04-30 06:00:00,1.086300
2020-04-30 07:00:00,1.085970
2020-04-30 08:00:00,1.086390
2020-04-30 09:00:00,1.088080
2020-04-30 10:00:00,1.088370
2020-04-30 11:00:00,1.088560
2020-04-30 12:00:00,1.086150
2020-04-30 13:00:00,1.087540
2020-04-30 14:00:00,1.086750
2020-04-30 15:00:00,1.087600
2020-04-30 16:00:00,1.085890
2020-04-30 17:00:00,1.095340
2020-04-30 18:00:00,1.093340
2020-04-30 19:00:00,1.093700
2020-04-30 20:00:00,1.094690
2020-04-30 21:00:00,1.095190
2020-04-30 22:00:00,1.095600
2020-04-30 23:00:00,1.095070
2020-05-01 00:00:00,1.095070
2020-05-01 01:00:00,1.094290
2020-05-01 02:00:00,1.094470
2020-05-01 03:00:00,1.094560
2020-05-01 04:00:00,1.094190
2020-05-01 05:00:00,1.094460
2020-05-01 06:00:00,1.094500
2020-05-01 07:00:00,1.094910
2020-05-01 08:00:00,1.095180
2020-05-01 09:00:00,1.095980
2020-05-01 10:00:00,1.096450
2020-05-01 11:00:00,1.097610
2020-05-01 12:00:00,1.098160
2020-05-01 13:00:00,1.098130
2020-05-01 14:00:00,1.097280
2020-05-01 15:00:00,1.098450
