Date,Price,Open,High,Low,Change %
"Apr 29, 2013",12.0308,12.0191,12.0696,12.0122,0.11%
"Apr 30, 2013",12.0538,12.0288,12.0816,12.0044,0.19%
"May 01, 2013",12.0712,12.0522,12.1108,12.0468,0.14%
"May 02, 2013",12.0547,12.0688,12.0989,12.0221,-0.14%
"May 03, 2013",12.0823,12.0524,12.1068,12.0112,0.23%
"May 06, 2013",12.0602,12.0806,12.1039,12.0412,-0.18%
"May 07, 2013",12.0174,12.0586,12.0687,11.9861,-0.35%
"May 08, 2013",12.054,12.0153,12.1019,12.0043,0.30%
"May 09, 2013",11.9871,12.0536,12.0954,11.967,-0.56%
"May 10, 2013",11.9248,11.9863,11.9962,11.883,-0.52%
"May 13, 2013",11.8736,11.9049,11.9408,11.8557,-0.43%
"May 14, 2013",11.8071,11.8722,11.899,11.802,-0.56%
"May 15, 2013",11.8253,11.8043,11.8541,11.7754,0.15%
"May 16, 2013",11.855,11.8243,11.8965,11.7962,0.25%
"May 17, 2013",11.7769,11.8538,11.8654,11.7648,-0.66%
"May 20, 2013",11.842,11.7782,11.8611,11.7658,0.55%
"May 21, 2013",11.7628,11.8408,11.859,11.7273,-0.67%
"May 22, 2013",11.6792,11.7596,11.7768,11.6555,-0.71%
"May 23, 2013",11.7281,11.6774,11.7441,11.6532,0.42%
"May 24, 2013",11.7427,11.7257,11.7569,11.6934,0.12%
"May 27, 2013",11.7248,11.7412,11.7668,11.7115,-0.15%
"May 28, 2013",11.678,11.7234,11.7499,11.6643,-0.40%
"May 29, 2013",11.7487,11.6766,11.7599,11.6496,0.61%
"May 30, 2013",11.8266,11.7458,11.831,11.7305,0.66%
"May 31, 2013",11.7988,11.8232,11.833,11.7501,-0.24%
"Jun 03, 2013",11.8929,11.7925,11.9352,11.7901,0.80%
"Jun 04, 2013",11.8829,11.8917,11.9117,11.8515,-0.08%
"Jun 05, 2013",11.9566,11.8806,11.9616,11.8663,0.62%
"Jun 06, 2013",12.1124,11.9538,12.173,11.9347,1.30%
"Jun 07, 2013",12.0773,12.1097,12.1242,12.0201,-0.29%
"Jun 10, 2013",12.0902,12.0747,12.1008,12.0271,0.11%
"Jun 11, 2013",12.1515,12.089,12.154,12.0491,0.51%
"Jun 12, 2013",12.1738,12.1479,12.1925,12.1362,0.18%
"Jun 13, 2013",12.2054,12.1744,12.2177,12.1455,0.26%
"Jun 14, 2013",12.1887,12.2035,12.2116,12.1179,-0.14%
"Jun 17, 2013",12.1989,12.191,12.2242,12.1669,0.08%
"Jun 18, 2013",12.1365,12.1979,12.202,12.0739,-0.51%
"Jun 19, 2013",12.0133,12.1355,12.1605,11.9844,-1.02%
"Jun 20, 2013",12.0305,12.0102,12.0366,11.9534,0.14%
"Jun 21, 2013",11.9622,12.0296,12.0466,11.9206,-0.57%
"Jun 24, 2013",11.9728,11.9462,11.9999,11.8986,0.09%
"Jun 25, 2013",11.9649,11.9706,12.0043,11.9425,-0.07%
"Jun 26, 2013",11.8832,11.9645,11.9794,11.8688,-0.68%
"Jun 27, 2013",11.8379,11.8814,11.9057,11.7902,-0.38%
"Jun 28, 2013",11.7995,11.8364,11.853,11.7601,-0.32%
"Jul 01, 2013",11.8021,11.7886,11.8271,11.7727,0.02%
"Jul 02, 2013",11.7496,11.8009,11.8186,11.7345,-0.44%
"Jul 03, 2013",11.8479,11.7481,11.8672,11.7304,0.84%
"Jul 04, 2013",11.6863,11.8481,11.8545,11.672,-1.36%
"Jul 05, 2013",11.5457,11.6845,11.6936,11.5187,-1.20%
"Jul 08, 2013",11.597,11.5541,11.6085,11.5204,0.44%
"Jul 09, 2013",11.5319,11.5943,11.6212,11.4892,-0.56%
"Jul 10, 2013",11.6441,11.5296,11.6457,11.513,0.97%
"Jul 11, 2013",11.7779,11.6444,11.809,11.6327,1.15%
"Jul 12, 2013",11.7217,11.7744,11.7822,11.6932,-0.48%
"Jul 15, 2013",11.7164,11.7192,11.7354,11.6567,-0.05%
"Jul 16, 2013",11.7616,11.7165,11.7692,11.6678,0.39%
"Jul 17, 2013",11.8015,11.7596,11.8445,11.6963,0.34%
"Jul 18, 2013",11.815,11.7995,11.8255,11.7564,0.11%
"Jul 19, 2013",11.8451,11.8139,11.8555,11.788,0.25%
"Jul 22, 2013",11.9178,11.8407,11.9353,11.8344,0.61%
"Jul 23, 2013",11.9228,11.9147,11.9413,11.8876,0.04%
"Jul 24, 2013",11.8814,11.9223,11.9399,11.8592,-0.35%
"Jul 25, 2013",11.9398,11.8806,11.9735,11.8411,0.49%
"Jul 26, 2013",11.9317,11.9383,11.9604,11.9098,-0.07%
"Jul 29, 2013",11.8992,11.9272,11.9562,11.889,-0.27%
"Jul 30, 2013",11.8168,11.8964,11.9089,11.8047,-0.69%
"Jul 31, 2013",11.795,11.8155,11.8312,11.7293,-0.18%
"Aug 01, 2013",11.7278,11.7947,11.8235,11.7179,-0.57%
"Aug 02, 2013",11.8588,11.7251,11.8754,11.7122,1.12%
"Aug 05, 2013",11.9136,11.762,11.9299,11.7615,0.46%
"Aug 06, 2013",11.9047,11.912,11.9392,11.8901,-0.07%
"Aug 07, 2013",12.0143,11.9037,12.0465,11.7921,0.92%
"Aug 08, 2013",12.0519,12.013,12.0799,12.0088,0.31%
"Aug 09, 2013",12.0215,12.0499,12.0675,12.017,-0.25%
"Aug 12, 2013",11.9934,12.022,12.0386,11.9866,-0.23%
"Aug 13, 2013",11.9806,11.9922,12.0278,11.9621,-0.11%
"Aug 14, 2013",12.0214,11.9791,12.0583,11.959,0.34%
"Aug 15, 2013",12.1292,12.0198,12.1382,12.0159,0.90%
"Aug 16, 2013",12.1194,12.1296,12.142,12.1001,-0.08%
"Aug 19, 2013",12.1353,12.1167,12.1546,12.1004,0.13%
"Aug 20, 2013",12.1491,12.1325,12.1713,12.117,0.11%
"Aug 21, 2013",12.1433,12.1477,12.1885,12.124,-0.05%
"Aug 22, 2013",12.0896,12.1401,12.1483,12.0676,-0.44%
"Aug 23, 2013",12.0728,12.0887,12.1261,12.05,-0.14%
"Aug 26, 2013",12.0809,12.0761,12.1086,12.0631,0.07%
"Aug 27, 2013",12.0587,12.0789,12.0938,12.0066,-0.18%
"Aug 28, 2013",12.0433,12.0567,12.0636,11.9629,-0.13%
"Aug 29, 2013",12.0241,12.0401,12.0584,12.0055,-0.16%
"Aug 30, 2013",12.0277,12.023,12.0426,11.9875,0.03%
"Sep 02, 2013",12.0547,12.0272,12.0915,12.022,0.22%
