time,open,high,low,close,Volume,Volume MA
1466515800,208.3,208.92,207.78,208.44,72461663,89514624.15
1466602200,208.65,209.5,207.93,208.1,95560471,89615757.3
1466688600,209.81,210.87,209.27,210.81,102731356,90791248.85
1466775000,203.63,206.905,202.72,203.13,333444400,104699433.9
1467034200,201.59,201.6,198.65,199.6,248988660,113938306.2
1467120600,201.48,203.23,201.12,203.1997,159382399,116413457.15
1467207000,204.84,206.93,204.72,206.66,137328614,119783077.1
1467293400,207.21,209.54,206.56,209.475,165021948,124881937.05
1467379800,209.36,210.49,209.29,209.9208,106055333,125096847.4
1467725400,208.95,209.08,207.71,208.41,109803713,127342680.8
1467811800,207.83,209.8,207.06,209.66,96021491,129095017.3
1467898200,209.87,210.6495,208.63,209.526,85593827,130066162.65
1467984600,211.05,212.94,210.7785,212.65,133970972,133075367.8
1468243800,213.19,214.07,212.95,213.4,73633937,131065606.75
1468330200,214.53,215.3,213.4308,214.95,101275629,130241830.55
1468416600,215.44,215.45,214.35,214.92,87324129,128355072.7
1468503000,216.4,216.67,215.66,216.12,91230870,127460391.4
1468589400,216.78,217.0125,215.308,215.83,107155401,125341508.2
1468848600,215.97,216.6,215.67,216.4092,58725918,122425016.7
1468935000,215.92,216.23,215.63,216.19,54345728,121002822.95
1469021400,216.75,217.37,216.24,217.085,58159457,120287712.65
1469107800,216.96,217.22,215.75,216.265,67777310,118898554.6
1469194200,216.41,217.3,216.1,217.24,62787477,116901360.65
1469453400,217,217.06,215.97,216.65,55873147,103022798
1469539800,216.53,217.17,215.76,216.75,70080493,94077389.65
1469626200,217.19,217.27,215.62,216.52,84083893,90312464.35
1469712600,216.29,217.11,215.75,216.77,65035718,86697819.55
1469799000,216.46,217.54,216.13,217.12,79519436,82422693.95
1470058200,217.19,217.65,216.405,216.94,73311422,80785498.4
1470144600,216.65,216.83,214.57,215.5492,92295506,79910088.05
1470231000,215.48,216.245,215.13,216.18,53993626,77808694.8
1470317400,216.31,216.78,214.25,216.4097,46585528,75858279.85
1470403800,217.21,218.23,217.07,218.18,71892161,72754339.3
1470663000,218.4,218.52,217.74,218.05,39906479,71067966.4
1470749400,218.13,218.76,217.8,218.18,51251728,68566771.35
1470835800,218.31,218.4038,217.23,217.64,57941092,67097619.5
1470922200,218.26,218.94,217.95,218.65,72504270,66161289.5
1471008600,218.29,218.71,217.99,218.46,61313544,63869196.65
1471267800,218.89,219.5,218.88,219.09,49813482,63423574.85
1471354200,218.6,218.68,217.96,217.96,53213621,63366969.5
1471440600,218,218.53,217.02,218.37,75134339,64215713.6
1471527000,218.34,218.9,218.21,218.86,52989266,63476311.4
1471613400,218.31,218.75,217.74,218.54,75443004,64109087.75
1471872600,218.26,218.8,217.83,218.53,61368766,64383868.7
1471959000,219.25,219.6,218.9,218.97,53399159,63549802
1472045400,218.8,218.91,217.36,217.85,71728949,62932054.8
1472131800,217.4,218.19,217.22,217.7,69224776,63141507.7
1472218200,217.92,219.12,216.25,217.29,122506348,65290853.3
1472477400,217.44,218.665,217.4,218.3608,70502167,65150390.55
1472563800,218.26,218.59,217.35,218,58114543,63441342.4
1472650200,217.61,217.75,216.465,217.38,85269453,65005133.75
1472736600,217.37,217.73,216.03,217.39,97844207,67568067.7
1472823000,218.39,218.87,217.7,218.37,79293856,67938152.45
1473168600,218.7,219.12,217.86,219.0308,56702089,68777932.95
1473255000,218.84,219.22,218.3,219.01,76554855,70043089.3
1473341400,218.62,218.94,218.15,218.51,74102880,70851178.7
1473427800,216.97,217.03,213.25,213.28,221589073,78305418.85
1473687000,212.39,216.81,212.31,216.34,168110913,83645287.3
1473773400,214.84,215.1499,212.5,213.23,182828839,90296055.15
1473859800,213.29,214.7,212.5,213.15,134185491,94344648.65
1473946200,212.96,215.73,212.75,215.28,145736123,97874737.85
1474032600,213.48,213.69,212.57,213.37,155236354,102987092.25
1474291800,214.13,214.88,213.03,213.41,80250490,103227466.55
1474378200,214.41,214.59,213.38,213.42,69665279,103642292.2
1474464600,214.24,216.03,213.44,215.82,110284425,106486555.5
1474551000,217,217.53,216.71,217.18,76678713,106734043.7
1474637400,216.72,216.88,215.88,215.99,73630921,106954350.95
1474896600,215.02,215.23,214.01,214.24,89827305,105320398.8
1474983000,214.05,215.68,213.62,215.57,78494829,105720031.9
1475069400,215.83,216.82,214.71,216.64,87411015,107184855.5
1475155800,216.4,216.87,214.04,214.68,128070615,109324913.6
1475242200,215.65,217.12,215.36,216.3,117202914,110292848.95
1475501400,215.82,216.04,215.04,215.78,83512057,110503759
1475587800,215.91,216.17,213.99,214.68,119948052,113666057.15
1475674200,215.41,216.13,215.33,215.63,72815963,113479112.55
1475760600,215.37,216.04,214.735,215.78,62927376,112920337.35
1475847000,216.1,216.3,214.19,215.04,89788255,106330296.45
1476106200,216.155,216.7,215.985,216.16,51855023,100517501.95
1476192600,215.66,215.74,212.58,213.43,130367373,97894428.65
1476279000,213.59,214.32,213.01,213.71,73866117,94878459.95
1476365400,212.16,213.59,211.21,213.01,101356960,92659501.8
1476451800,214.15,214.69,213.03,213.12,93346237,89564995.95
1476711000,213.09,213.39,212.17,212.38,58275674,88466255.15
1476797400,214.24,214.31,213.27,213.71,76869656,88826474
1476883800,214.02,214.64,213.6,214.28,66519224,86638213.95
1476970200,213.87,214.53,213.11,213.88,73639830,86486269.8
1477056600,212.96,214.08,212.76,213.98,89089092,87259178.35
1477315800,215,215.32,214.48,214.89,60146592,85775142.7
1477402200,214.68,214.98,213.98,214.17,66542329,85177517.7
1477488600,213.21,214.42,212.93,213.74,75705478,84592240.85
1477575000,214.58,214.62,213.08,213.17,77220213,82049720.75
1477661400,213.14,213.93,211.71,212.54,140623183,83220734.2
1477920600,212.93,213.19,212.36,212.55,61272507,82108756.7
1478007000,212.93,212.99,209.6,211.01,122781818,82250445
1478093400,210.65,211.1,209.23,209.74,103330806,83776187.15
1478179800,209.99,210.24,208.46,208.78,88939346,85076785.65
1478266200,208.91,209.89,208.38,208.55,109122059,86043475.85
1478529000,211.45,213.19,211.3,213.15,109794861,88940467.75
1478615400,212.69,214.77,212.38,214.11,106772138,87760706
1478701800,212.37,217.1,212.34,216.3792,258428972,96988848.75
1478788200,217.3,218.31,215.22,216.92,172113313,100526666.4
1478874600,216.08,216.7,215.32,216.42,100552732,100886991.15
1479133800,217.03,217.27,215.72,216.59,94579982,102702206.55
1479220200,217.04,218.28,216.8,218.28,91652580,103441352.75
1479306600,217.56,218.14,217.42,217.87,65617697,103396276.4
1479393000,218.05,219.06,217.92,218.99,69797191,103204144.45
1479479400,219.07,219.27,218.29,218.5,86265751,103062977.4
1479738600,219.17,220.18,219,220.15,72402638,103675779.7
1479825000,220.51,220.79,219.73,220.58,67428957,103720111.1
1479911400,219.98,220.76,219.75,220.7,56620237,102765849.05
1480084200,221.1,221.56,221.01,221.52,37872255,100798451.15
1480343400,221.16,221.48,220.36,220.48,76572511,97595917.55
1480429800,220.52,221.44,220.17,220.91,69886690,98026626.7
1480516200,221.63,221.82,220.31,220.38,113291793,97552125.45
1480602600,220.73,220.73,219.15,219.57,79040487,96337609.5
1480689000,219.67,220.25,219.26,219.68,74840347,95632659.55
1480948200,220.65,221.4,220.42,221,67837821,93568447.65
1481034600,221.22,221.7441,220.662,221.7,59877377,91072573.45
1481121000,221.52,224.67,221.38,224.6,110738050,91270869.05
1481207400,224.57,225.7,224.26,225.15,99714387,83335139.8
1481293800,225.41,226.53,225.37,226.51,88005766,79129762.45
1481553000,226.4,226.96,225.76,226.25,102016125,79202932.1
1481639400,227.02,228.34,227,227.76,110477485,79997807.25
1481725800,227.41,228.23,225.365,225.88,142501812,82540268.85
1481812200,226.16,227.81,225.8904,226.81,124972554,85508011.7
1481898600,226.01,226.08,224.67,225.04,156420152,89839159.75
1482157800,225.25,226.02,225.08,225.53,90341147,90042929.55
1482244200,226.15,226.57,225.88,226.4,89838810,90914738.15
1482330600,226.25,226.45,225.77,225.77,67909039,90938742.25
1482417000,225.6,225.74,224.92,225.38,56219071,90918683.95
1482503400,225.43,225.72,225.21,225.71,36697822,90859962.3
1482849000,226.02,226.73,226,226.27,42672487,89164961.1
1482935400,226.57,226.59,224.27,224.4,64095014,88875377.3
1483021800,224.48,224.89,223.84,224.35,48696080,85645591.65
1483108200,224.73,224.83,222.73,223.53,108998328,87143483.7
1483453800,225.04,225.83,223.8837,225.24,91366522,87969792.45
1483540200,225.62,226.75,225.61,226.58,78744433,88515123.05
1483626600,226.27,226.58,225.48,226.4,78379012,89440204.8
1483713000,226.53,227.75,225.9,227.21,71559922,87481298.4
1483972200,226.91,227.0701,226.4163,226.46,46939676,84842562.85
1484058600,226.48,227.45,226.01,226.46,63771939,83630871.5
1484145000,226.36,227.1,225.59,227.1,74650016,82262566.05
1484231400,226.5,226.75,224.955,226.53,72113181,80344350.85
1484317800,226.73,227.4,226.69,227.05,62717865,76355153.5
1484663400,226.31,226.78,225.8,226.25,61240814,73168566.5
1484749800,226.535,226.8,225.9,226.75,54793302,68087224
1484836200,226.84,227,225.41,225.91,66608787,66900606
1484922600,226.7,227.31,225.9719,226.74,129168623,68867096.65
1485181800,226.35,226.805,225.27,226.15,75061645,69224726.95
1485268200,226.4,228.08,226.27,227.6,95555295,71191538.15
1485354600,228.7,229.57,228.51,229.57,84437712,73578532.65
1485441000,229.4,229.71,229.01,229.33,59970719,74443444.25
1485527400,229.42,229.59,228.76,228.97,59711118,74224249.45
1485786600,228.17,228.2,226.41,227.55,79737252,75776308.05
1485873000,226.98,227.6,226.32,227.53,75880805,74120431.9
1485959400,228.255,228.59,226.94,227.62,79117651,73507988.35
1486045800,227.2,228.1,226.82,227.77,69657560,73053644.7
1486132200,228.82,229.55,228.46,229.34,80563168,73162852.5
1486391400,228.87,229.326,228.54,228.93,57790108,72474361.8
1486477800,229.38,229.6556,228.72,228.94,57931151,73023935.55
1486564200,228.61,229.39,228.31,229.24,51566218,72413649.5
1486650600,229.56,230.95,229.52,230.6,65955245,71978910.95
1486737000,231,231.77,230.6216,231.51,66015892,71674046.5
1486996200,232.08,233.07,232.05,232.77,55182050,71297255.75
1487082600,232.56,233.71,232.16,233.7,71108983,71790664.2
1487169000,233.45,235.14,233.39,234.92,86785826,73390290.4
1487255400,234.96,235.155,233.85,234.72,84722437,74295972.9
1487341800,233.95,235.09,233.93,235.09,77204104,71697746.95
1487687400,235.52,236.69,235.51,236.49,88946051,72391967.25
1487773800,236.02,236.54,235.83,236.28,62115185,70719961.75
1487860200,236.88,236.9,235.56,236.44,74615902,70228871.25
1487946600,235.46,236.7932,235.41,236.74,82381612,71349415.9
1488205800,236.64,237.31,236.35,237.11,56515440,71189632
1488292200,236.67,236.95,236.015,236.47,96961938,72050866.3
1488378600,238.39,240.32,238.37,239.78,149158170,75714734.55
1488465000,239.56,239.57,238.21,238.27,70245978,75271150.9
1488551400,238.17,238.61,237.73,238.42,81974300,75886987.9
1488810600,237.5,238.12,237.01,237.71,55391533,74628406.15
1488897000,237.36,237.77,236.76,237,65103737,74994087.6
1488983400,237.34,237.64,236.4,236.56,78168795,76005969.8
1489069800,236.7,237.24,235.74,236.86,90683918,77961854.8
1489156200,237.97,238.02,236.59,237.69,81991652,78763675.15
1489411800,237.62,237.86,237.24,237.81,57256824,78325721.75
